noise_type,filter,kernel,psnr_mean,ssim_mean,edge_preservation_mean,time_us_mean
gaussian,gaussian,3,28.47401671463784,0.6158008593236501,0.5025846780063937,6.236885375983547
gaussian,gaussian,5,30.60479131559983,0.7379475916562515,0.6168063348827161,6.95297387210303
gaussian,mean,3,29.219455640934605,0.6583882267176544,0.5654394223121871,4.078578127518995
gaussian,mean,5,31.873508313059652,0.8176608896211978,0.678424847423583,4.32229699799791
gaussian,median,3,27.573001731015417,0.5701676503475079,0.47466291144050543,4.685749998316169
gaussian,median,5,30.506133941623855,0.755147340512366,0.5531628158863592,25.915604255715152
salt_pepper,gaussian,3,26.47250757125697,0.5625440900515934,0.377727592095792,6.31954162963666
salt_pepper,gaussian,5,28.733229711894516,0.6786743394310051,0.5034274975366303,6.990348876570351
salt_pepper,mean,3,27.30410673436313,0.597443142787065,0.4486491948125567,4.07989087398164
salt_pepper,mean,5,30.242414711858416,0.767145350894475,0.6023968217674316,4.35241662489716
salt_pepper,median,3,43.182235331120054,0.972305944857854,0.9722807226202198,4.6194062488211785
salt_pepper,median,5,39.53487915046503,0.9553245171269094,0.9174718482598382,25.61183325087768
