image,ncomp_clean,ncomp_noisy,ncomp_denoised,iou_noisy_vs_clean,dice_noisy_vs_clean,iou_denoised_vs_clean,dice_denoised_vs_clean
open_good_light,3,196,2,0.6184738955823293,0.7642679900744417,0.9054726368159204,0.9503916449086162
open_poor_light,5,27,3,0.0,0.0,0.9744597249508841,0.9870646766169154
open_glasses_reflect,4,69,5,0.5311475409836065,0.6937901498929336,0.948905109489051,0.9737827715355806
closed_glasses,3,41,4,0.768595041322314,0.8691588785046729,0.9805996472663139,0.9902048085485308
