image,noise_type,filter,kernel,psnr,ssim,edge_preservation,time_us
open_good_light,salt_pepper,mean,3,28.050083158497742,0.5089959684762826,0.30083197609231416,3.5694170073838905
open_good_light,salt_pepper,mean,5,32.02484651515759,0.7433269047738607,0.5374768601984174,3.8707914936821908
open_good_light,salt_pepper,gaussian,3,27.126833093276893,0.46340061762630763,0.23140140190819372,6.197208509547636
open_good_light,salt_pepper,gaussian,5,29.69308949229776,0.6090611559974991,0.363275196295064,6.785812496673316
open_good_light,salt_pepper,median,3,50.154649410141175,0.9954496685620617,0.9873821516786844,4.315124999266118
open_good_light,salt_pepper,median,5,46.43756724328334,0.9917805147597935,0.9722385383649221,23.802228999556974
open_good_light,gaussian,mean,3,29.469730197401272,0.55215422295169,0.409876432870292,3.573333509848453
open_good_light,gaussian,mean,5,33.43630504093157,0.7894281108426305,0.6301765743179899,3.9257085009012376
open_good_light,gaussian,gaussian,3,28.57057568649946,0.4950278569093753,0.33135601219235106,5.9766455087810755
open_good_light,gaussian,gaussian,5,31.095701563918638,0.6555126835985723,0.4782487986139855,6.664582993835211
open_good_light,gaussian,median,3,27.714527887785337,0.4519251098657107,0.31582942639360106,4.3080000032205135
open_good_light,gaussian,median,5,31.572175694127882,0.7037272127995502,0.48766594521750967,23.963896004715934
open_poor_light,salt_pepper,mean,3,26.930339461848153,0.618667392711807,0.49840672114567625,3.8124584971228614
open_poor_light,salt_pepper,mean,5,29.388830630188583,0.7572770681413727,0.5919169548814238,4.0929999959189445
open_poor_light,salt_pepper,gaussian,3,26.191340429063885,0.593230164530689,0.42365585902000147,6.204187506227754
open_poor_light,salt_pepper,gaussian,5,28.259161824700996,0.6926017234985005,0.5488265617194482,6.842937509645708
open_poor_light,salt_pepper,median,3,37.34679318128623,0.9358342183450328,0.9498126134104291,4.196770503767766
open_poor_light,salt_pepper,median,5,33.825578273702405,0.9121620416423514,0.8229826643180064,24.347916507394984
open_poor_light,gaussian,mean,3,28.96666907863905,0.6817707409116446,0.6461981932262294,3.8663750019622967
open_poor_light,gaussian,mean,5,31.077309109080282,0.8090536686521532,0.6699204642525222,4.044603992952034
open_poor_light,gaussian,gaussian,3,28.35322132422519,0.6503207275337103,0.5923679384059476,6.067541500669904
open_poor_light,gaussian,gaussian,5,30.280075808998085,0.7534693280811186,0.6854596529386262,6.880166503833607
open_poor_light,gaussian,median,3,27.271774347465364,0.595761322851021,0.5600621129243747,4.376708500785753
open_poor_light,gaussian,median,5,29.535288901096063,0.7560773240372626,0.5167468061344717,24.331625012564473
open_glasses_reflect,salt_pepper,mean,3,26.690183859431226,0.696981185382298,0.7063597595626566,3.0714169988641515
open_glasses_reflect,salt_pepper,mean,5,28.456789370261312,0.8044220471418227,0.7949334839773379,3.237645505578257
open_glasses_reflect,salt_pepper,gaussian,3,25.951759916522445,0.6687669957923308,0.6295503406721278,4.496937501244247
open_glasses_reflect,salt_pepper,gaussian,5,27.887443578133194,0.7570691980610159,0.7560821927571653,5.023728997912258
open_glasses_reflect,salt_pepper,median,3,38.99610830112158,0.9726744926838216,0.981178774007669,3.6088335036765784
open_glasses_reflect,salt_pepper,median,5,34.27629178979012,0.9424653692767326,0.9337491274126425,19.51764550176449
open_glasses_reflect,gaussian,mean,3,28.73657413112202,0.7745733384434854,0.8261847298163453,3.0476249958155677
open_glasses_reflect,gaussian,mean,5,29.474896233525264,0.8511884155900427,0.834394318902638,3.195666999090463
open_glasses_reflect,gaussian,gaussian,3,28.20076408159004,0.7469994807324927,0.7841296304568603,4.46552099310793
open_glasses_reflect,gaussian,gaussian,5,29.670901597201585,0.8254273703418935,0.8510044485009076,5.021249991841614
open_glasses_reflect,gaussian,median,3,27.49883407640099,0.7063756711417185,0.7482934672081716,3.5315624991199
open_glasses_reflect,gaussian,median,5,29.29489992022266,0.8145993264903361,0.7863033119891875,19.230333506129682
closed_glasses,salt_pepper,mean,3,27.545820457675397,0.5651280245778725,0.2889983224495799,5.8662709925556555
closed_glasses,salt_pepper,mean,5,31.099192331826167,0.763555383520844,0.4852599880125473,6.208229504409246
closed_glasses,salt_pepper,gaussian,3,26.62009684616465,0.5247785822570463,0.22630276678284497,8.379833001527004
closed_glasses,salt_pepper,gaussian,5,29.093223952446124,0.6559652801670046,0.34552603937484394,9.308916502050124
closed_glasses,salt_pepper,median,3,46.23139043193122,0.9852653998404998,0.970749351384097,6.3568959885742515
closed_glasses,salt_pepper,median,5,43.600079295084264,0.9748901428287595,0.9409170629437819,34.77954199479427
closed_glasses,gaussian,mean,3,29.70484915657608,0.6250546045637976,0.37949833333588207,5.8269790024496615
closed_glasses,gaussian,mean,5,33.50552286870149,0.8209733633999642,0.5792080322211819,6.123208499047905
closed_glasses,gaussian,gaussian,3,28.771505766236665,0.5708553721190225,0.30248513097041585,8.43783350137528
closed_glasses,gaussian,gaussian,5,31.37248629228101,0.7173809846034213,0.4525124394773452,9.245895998901688
closed_glasses,gaussian,median,3,27.806870612409966,0.5266084975315819,0.2744666392358742,6.526728990138508
closed_glasses,gaussian,median,5,31.622171251048808,0.746185498722315,0.42193520020426767,36.13656249945052
