image,noise_type,psnr,ssim,edge_preservation
open_good_light,salt_pepper,18.79149133948652,0.18729503220147584,0.11496927511821883
open_good_light,gaussian,20.226136795698054,0.1254070586114918,0.12689336512803986
open_poor_light,salt_pepper,18.17497292004324,0.32118657700393444,0.24104608934501826
open_poor_light,gaussian,20.394955224523752,0.2611831080330661,0.3609358167141125
open_glasses_reflect,salt_pepper,17.970565843228655,0.38137216611595803,0.36526322122644667
open_glasses_reflect,gaussian,20.507398619598725,0.37924365478436883,0.5200215646798106
closed_glasses,salt_pepper,18.330114643466196,0.23996655252691176,0.11573713057834661
closed_glasses,gaussian,20.26981034986344,0.16955167210964436,0.1119948358676166
